Aachen|Aachen, Germany|Aachen, Germany
Aalborg|Aalborg, Denmark|Aalborg, Denmark
Aarhus|Aarhus, Denmark|Aarhus, Denmark
Aberdeen|Aberdeen England, United Kingdom|Aberdeen, England
Abovyan|noname|Abovyan, Yerevan
Adana|noname|Adana, Turkey
Aldershot|Aldershot England, United Kingdom|Aldershot, England
Alicante|noname|Alicante, Spain
Almada|noname|Almada, Portugal
Almeria|noname|Almeria, Spain
Amsterdam|Amsterdam, Netherlands|Amsterdam, Netherlands
Ancona|noname|Ancona, Italy
Andorra_La_Vella|Andorra la vella, Andorra|Andorra la Vella, Andorra
Ankara|Ankara, Turkey|Ankara, Turkey
Antalya|noname|Antalya, Turkey
Antwerp|Antwerp, Belgium|Antwerp, Belgium
Arad_(Romania)|noname|Arad, Romania
Ararat_Marz|noname|Ararat, Armenia
Arezzo|noname|Arezzo, Italy
Athens|Athens, Greece|Athens, Greece
Augsburg|noname|Augsburg, Germany
Aylesbury|noname|Aylesbury, England
Bobruisk|noname|Bobruisk, Belarus
Bangor_(Northern_Ireland)|noname|Bangor, Northern Ireland
Banja_Luka|noname|Banja Luka, Bosnia and Herzegovina
Banska_Bystrica|noname|Banska Bystrica, Slovakia
Barcelona|Barcelona, Spain|Barcelona, Spain
Bari|noname|Bari, Italy
Barnaul|noname|Barnaul, Russia
Barnsley|Barnsley England, United Kingdom|Barnsley, England
Barry|noname|Barry, Wales
Basel|noname|Basel, Switzerland
Basildon|Basildon England, United Kingdom|Basildon, England
Basingstoke|noname|Basingstoke, England
Bath|Bath England, United Kingdom|Bath, England
Bedford|Bedford England, United Kingdom|Bedford, England
Belfast|Belfast England, United Kingdom|Belfast, England
Belgrade|Belgrade, Serbia|Belgrade, Serbia
Benalmadena|Benalmadena, Spain|Benalmadena, Spain
Bender|noname|Bender, Moldova
Benidorm|noname|Benidorm, Spain
Bergen|Bergen, Norway|Bergen, Norway
Berlin|Berlin, Germany|Berlin, Germany
Bern|noname|Bern, Switzerland
Bilbao|Bilbao, Spain|Bilbao, Spain
Birkenhead|noname|Birkenhead, England
Birmingham_(England)|Birmingham England, United Kingdom|Birmingham, England
Bitola|noname|Bitola, Macedonia
Blackburn|noname|Blackburn, England
Blackpool|Blackpool England, United Kingdom|Blackpool, England
Bognor_Regis|noname|Bognor Regis, England
Bologna|Bologna, Italy|Bologna, Italy
Bolton_(England)|noname|Bolton, England
Bonn|Bonn, Germany|Bonn, Germany
Bordeaux|Bordeaux, France|Bordeaux, France
Bournemouth|Bournemouth England, United Kingdom|Bournemouth, England
Bradford|noname|Bradford, England
Braga|Braga, Portugal|Braga, Portugal
Bratislava|Bratislava, Slovakia|Bratislava, Slovakia
Bremen|Bremen, Germany|Bremen, Germany
Brentwood_(England)|noname|Brentwood, England
Brest_(Belarus)|noname|Brest, Belarus
Brighton_(England)|Brighton England, United Kingdom|Brighton, England
Bristol|noname|Bristol, England
Brno|Brno, Czech Republic|Brno, Czeck Republic
Bruges|Bruges, Belgium|Bruges, Belgium
Brunswick_(Germany)|noname|Brunswick, Germany
Brussels|Brussels, Belgium|Brussels, Belgium
Bucharest|Bucharest, Romania|Bucharest, Romania
Budapest|Budapest, Hungary|Budapest, Hungary
Burgas|noname|Burgas, Bulgaria
Burgos_(city)|noname|Burgos, Spain
Burnley|noname|Burnley, England
Bursa|Bursa, Turkey|Bursa, Turkey
Burton_upon_Trent|noname|Burton upon Trent, England
Bury|noname|Bury, England
Cadiz|noname|Cadiz, Spain
Cagliari|Cagliari, Italy|Caligari, Italy
Calais|noname|Calais, France
Cambridge_(England)|Cambridge England, United Kingdom|Cambridge, England
Canillo|noname|Canillo, Andorra
Cannes|Cannes, France|Cannes, France
Cardiff|Cardiff, Wales|Cardiff, Wales
Carlisle|noname|Carlisle, England
Cartagena_(Spain)|noname|Cartagena, Spain
Castelln|noname|Castellon, Spain
Celje|noname|Celje, Slovenia
Ceske_Budejovice|Ceske Budejovice, Czech Republic|Ceske Budejovice, Czech Republic
Chatham|Chatham England, United Kingdom|Chatham, England
Chelmsford_(England)|noname|Chelmsford, England
Cheltenham|Cheltenham England, United Kingdom|Cheltenham, England
Chelyabinsk|noname|Chelyabinsk, Russia
Chemnitz|noname|Chemnitz, Germany
Chester|Chester England, United Kingdom|Chester, England
Chesterfield|noname|Chesterfield, England
Chisinau|Chisinau, Moldova|Chisinau, Moldova
Christchurch_(England)|noname|Christchurch, England
Cluj_Napoca|Cluj-Napoca, Romania|Cluj-Napoca, Romania
Coimbra|noname|Coimbra, Portugal
Colchester_(Essex)|noname|Colchester, England
Colmar|noname|Colmar, France
Cologne|Cologne, Germany England, United Kingdom|Cologne, Germany
Copenhagen|Copenhagen|Copenhagen, Denmark
Cordoba_(city,_Spain)|Cordoba, Spain|Cordoba, Spain
Cork|Cork, Ireland|Cork, Ireland
Coventry|Coventry England, United Kingdom|Coventry, England
Craiova|noname|Craiova, Romania
Crawley|noname|Crawley, England
Crewe|noname|Crewe, England
Crosby|noname|Crosby, England
Czestochowa|noname|Czestochowa, Poland
Darlington|noname|Darlington, England
Daugavpils|noname|Daugavpils, Latvia
Debrecen|noname|Debrecen, Hungary
Derby|noname|Derby, England
Diyarbakr|noname|Diyarbakir, Turkey
Dnipro|noname|Dnipro, Ukraine
Doncaster|noname|Doncaster, England
Donetsk|noname|Donetsk, Ukraine
Dortmund|Dortmund, Germany|Dortmund, Germany
Drammen|noname|Drammen, Norway
Dresden|Dresden, Germany|Dresden, Germany
Dublin|Dublin, Ireland|Dublin, Ireland
Dubrovnik|Dubrovnik, Croatia|Dubrovnik, Croatia
Dudley_(England)|noname|Dudley, England
Duisburg|noname|Duisburg, Germany
Dundee|noname|Dundee, Scotland
Dunfermline|noname|Dunfermline, Scotland
Dunkirk|noname|Dunkirk, France
Durres|noname|Durres, Albania
Dusseldorf|Dusseldorf, Germany|Dusseldorf, Germany
Eastbourne|noname|Eastbourne, England
Eastleigh|noname|Eastleigh, England
Edinburgh|Edinburgh Scotland, United Kingdom|Edinburgh Scotland
El_Puerto_de_Santa_Maria|noname|El Puerto de Santa Maria, Spain
Elche|noname|Elche, Spain
Encamp|noname|Encamp, Andorra
Erfurt|noname|Erfurt, Germany
Esbjerg|Esbjerg, Denmark|Esbjerg, Denmark
Espoo|noname|Espoo, Finland
Essen|noname|Essen, Germany
Estepona|noname|Estepona, Spain
Exeter|noname|Exeter, England
Falkirk|Falkirk England, United Kingdom|Falkirk, Scotland
Farnborough|Farnborough England, United Kingdom|Farnborough, England
Fier|noname|Fier, Albania
Florence|Florence, Italy|Florence, Italy
Frankfurt_am_Main|Frankfurt am Main, Germany|Frankfurt am Main, Germany
Fredrikstad|noname|Fredrikstad, Norway
Freiburg_im_Breisgau|Freiburg im Breisgau, Germany|Freiburg im Breisgau, Germany
Fuengirola|noname|Fuengirola, Spain
Funchal|Funchal, Portugal|Funchal, Portugal
Galway|Galway, Ireland|Galway, Ireland
Gateshead|noname|Gateshead, England
Gaziantep|noname|Gaziantep, Turkey
Gdynia|Gdynia, Poland|Gdynia, Poland
Geneva|Geneva, Switzerland|Geneva, Switzerland
Genoa|Genoa, Italy|Genoa, Italy
Gillingham_(Kent)|noname|Gillingham, England
Glasgow|Glasgow England, United Kingdom|Glasgow, Scotland
Gloucester_(England)|Gloucester England, United Kingdom|Gloucester, England
Gomel|noname|Gomel, Belarus
Gosport|noname|Gosport, England
Gothenburg|Gothenburg, Sweden|Gothenburg, Sweden
Granada_(Spain)|Granada, Spain|Granada, Spain
Gravesend|noname|Gravesend, England
Graz|Graz, Austria|Graz, Austria
Grenoble|noname|Grenoble, France
Grimsby|noname|Grimsby, England
Grosseto|noname|Grosseto, Italy
Guildford|Guildford, England|Guildford, England
Gyumri|noname|Gyumri, Armenia
Halifax_(England)|noname|Halifax, England
Halle|noname|Halle, Germany
Hamburg|Hamburg, Germany|Hamburg, Germany
Hamilton_(Scotland)|Hamilton England, United Kingdom|Hamilton, Scotland
Hanover|noname|Hanover, Germany
Harrogate|noname|Harrogate, England
Hartlepool|noname|Hartlepool, England
Hastings_(England)|noname|Hastings, England
Heidelberg|Heidelberg, Germany|Heidelberg, Germany
Helsinki|Helsinki, Finland|Helsinki, Finland
Hemel_Hempstead|Hemel Hempstead England, United Kingdom|Hemel Hempstead, England
Hereford|noname|Hereford, England
High_Wycombe|noname|High Wycombe, England
Horsens|Horsens, Denmark|Horsens, Denmark
noname|Hove England, United Kingdom|Hove, England
Hradec_Kralove|noname|Hradec_Kralove, Czech Republic
Hrodna|noname|Hrodna, Belarus
Huddersfield|noname|Huddersfield, England
Iasi|Iasi, Romania|Iasi, Romania
Innsbruck|Innsbruck, Austria|Innsbruck, Austria
Ipswich_(England)|noname|Ipswich, England
Heraklion|noname|Heraklion, Greece
Irkutsk|Irkutsk, Russian Federation|Irkutsk, Russia
Istanbul|noname|Istanbul, Turkey
Izhevsk|noname|Izhevsk, Russia
Izmir|noname|Izmir, Turkey
Jaen_(Spain)|noname|Jaen, Spain
Jelgava|noname|Jelgava, Latvia
Jena|noname|Jena, Germany
Jerez_de_la_Frontera|Jerez de la Frontera, Spain|Jerez de la Frontera, Spain
Jrmala|noname|Jurmala, Latvia
Kapan|noname|Kapan, Armenia
Katowice|noname|Katowice, Poland
Kaunas|noname|Kaunas, Lithuania
Kayseri|noname|Kayseri, Turkey
Kazan|Kazan, Russian Federation|Kazan, Russia
Keighley|noname|Keighley, England
Kettering|noname|Kettering, England
Kharkiv|Kharkiv, Ukraine|Kharkiv, Ukraine
Kiev|noname|Kiev, Ukraine
Kingston_upon_Hull|noname|Kingston upon Hull, England
Kirkcaldy|noname|Kirkcaldy, Scotland
Klaipeda|noname|Klaipeda, Lithuania
Kolding|Kolding, Denmark|Kolding, Denmark
Konya|noname|Konya, Turkey
Kpavogur|noname|Kopavogur, Iceland
Kosice|noname|Kosice, Slovakia
Kragujevac|noname|Kragujevac, Serbia
Krakow|Krakow, Poland|Krakow, Poland
Kranj|noname|Kranj, Slovenia
Krasnodar|noname|Krasnodar, Russia
Krasnoyarsk|noname|Krasnoyarsk, Russia
Kumanovo|noname|Kumanovo, Macedonia
La_Lnea|noname|La Linea de la Concepcion, Spain
La_Rochelle|La Rochelle, France|La Rochelle, France
Lahti|noname|Lahti, Finland
Larisa|noname|Larissa, Greece
Las_Palmas_de_Gran_Canaria|Las Palmas de Gran Canaria, Spain|Las Palmas de Gran Canaria, Spain
Lausanne|noname|Lausanne, Switzerland
Le_Havre|noname|Le Havre, France
Le_Mans|noname|Le Mans, France
Leeds|Leeds England, United Kingdom|Leeds, England
Leicester|noname|Leicester, England
Leipzig|Leipzig, Germany|Leipzig, Germany
Leiria|noname|Leiria, Portugal
Len_(Spain)|noname|Leon, Spain
Liberec|noname|Liberec, Czech Republic
Liepaja|noname|Liepaja, Latvia
Lille|Lille, France|Lille, France
Limassol|Limassol, Cyprus|Limassol, Cyprus
Limerick|Limerick, Ireland|Limerick, Ireland
Lincoln|noname|Lincoln, England
Linz|noname|Linz, Austria
Lisbon|Lisbon, Portugal|Lisbon, Portugal
Liverpool|Liverpool England, United Kingdom|Liverpool, England
Livingston_(Scotland)|noname|Livingston, Scotland
Livorno|noname|Livorno, Italy
Ljubljana|noname|Ljubljana, Slovenia
Lodz|Lodz, Poland|Lodz, Poland
